FIPS,Population,Land_area,Population Density
1001,58805,594.44,98.92503869187806
1003,231767,1589.78,145.7855803947716
1005,25223,884.88,28.504429979206222
1007,22293,622.58,35.80744643258697
1009,59134,644.78,91.71190173392475
1011,10357,622.81,16.62946966169458
1013,19051,776.83,24.524027135924204
1015,116441,605.87,192.18809315529734
21135,13080,482.84,27.08971916162704
21137,24275,334.1,72.65788686022148
21139,8888,313.13,28.38437709577492
21141,27432,552.13,49.6839512433666
21143,8680,213.84,40.5910961466517
21145,67875,248.74,272.87529146900374
21147,16888,426.8,39.5688847235239
21151,92701,437.29,211.98975508243956
21155,19581,343.01,57.08579924783534
21157,31659,301.25,105.09211618257261
21161,17120,240.13,71.29471536251198
21163,30003,305.42,98.23521707812192
21167,22641,248.8,91.0008038585209
21169,10286,289.65,35.511824615915764
21173,28114,197.37,142.4431271216497
21175,13726,381.13,36.013958491853174
21179,46738,417.51,111.94462408086034
21181,7537,195.17,38.61761541220475
21185,67607,187.22,361.1099241534024
21187,11278,351.1,32.12190259185417
21191,14644,277.16,52.83590705729542
21195,58669,786.83,74.56375583035725
21197,13129,178.98,73.35456475583865
21201,2193,99.91,21.949754779301372
21203,16037,316.55,50.66182277681251
21207,17991,253.66,70.92564850587401
21209,57155,281.77,202.84274408205275
21213,19594,234.2,83.66353543979506
21215,19490,186.68,104.40325691022069
21219,12243,374.5,32.691588785046726
21223,8474,151.65,55.87866798549291
21225,13668,342.85,39.86583053813621
21229,12027,297.27,40.45816934100313
21231,19555,458.17,42.68066438221621
21235,36712,437.83,83.84989607838659
21237,6562,222.17,29.53594094612234
23001,111139,467.93,237.51202102878636
23003,67105,6671.33,10.05871392960624
23007,29456,1696.61,17.361680056111894
23009,55478,1586.89,34.960205181203484
23013,40607,365.13,111.21244488264453
23015,35237,455.82,77.30463779562108
23019,152199,3397.36,44.79919702357124
23021,16800,3960.86,4.2415031079109085
23025,50477,3924.4,12.862348384466415
23029,31095,2562.66,12.13387651892955
23031,211972,990.71,213.95968547809147
27003,363887,423.01,860.2326186142171
27005,35183,1315.2,26.751064476885645
27007,46228,2504.94,18.4547334467093
27009,41379,408.3,101.34459955914768
27011,5166,499.02,10.352290489359143
27013,69112,747.84,92.41548994437312
27015,25912,611.09,42.40291937357836
27017,36207,861.38,42.033713343704285
27019,106922,354.33,301.75824796094037
27021,30066,2021.54,14.872819731491834
27023,12598,581.12,21.678827092511014
27025,56621,414.86,136.48218676179917
47121,12758,195.12,65.38540385403854
47125,220069,539.18,408.1549760747803
47127,6461,129.22,50.0
47131,30787,544.73,56.517907954399426
47133,22511,433.48,51.930884931254035
47137,5001,162.98,30.684746594674195
47139,17544,434.68,40.36072513113095
47143,32870,315.38,104.22347644111865
47145,53404,360.71,148.0524521083419
