FIPS,Confirmed
01001,4492
01003,15067
01005,1585
01007,1842
01009,3504
01011,603
01013,1422
01015,8227
01017,2260
01019,1689
01021,3170
01023,991
01025,2093
01027,1407
01029,881
01031,3514
01033,6316
01035,855
01037,965
01039,2095
01041,1034
01043,7363
01045,3031
01047,2740
01049,5017
01051,6132
01053,2688
01055,7984
01057,1482
01059,3239
01061,1421
01063,485
01065,1359
01067,1113
01069,6404
01071,4260
01073,55253
01075,1031
01077,8047
01079,2491
01081,10545
01083,7564
01085,721
01087,1216
01089,30469
01091,1641
01093,2407
01095,7595
01097,33213
01099,1715
01101,16476
01103,11992
80001,0
01105,626
01107,1684
01109,1981
01111,1424
01113,2522
01117,17528
01115,7052
01119,1075
01121,7009
01123,3546
01125,16932
90001,0
01127,5822
01129,1062
01131,1003
01133,2579
02013,576
02016,722
02020,36777
02050,1930
02060,0
02164,229
02063,610
02066,232
02068,86
02070,549
02090,9254
02100,330
02110,3374
02122,4784
02130,1384
02150,2058
02158,1207
02170,8606
02180,2959
02185,1344
02188,1709
02195,147
02198,720
02220,866
02230,40
02240,583
90002,348
02261,0
02275,226
02282,176
02290,499
60,73
04001,5496
04003,10787
04005,14767
04007,4563
04009,2898
04011,701
04012,1461
04013,369036
04015,17628
04017,10468
80004,0
04019,75612
04021,39414
04023,6016
90004,-1
04025,10894
04027,17442
05001,1938
05003,1669
05005,1854
05007,18944
05009,2299
05011,884
05013,296
05015,1376
05017,649
05019,1458
05021,1084
05023,2051
05025,709
05027,1653
05029,1860
05031,10768
05033,4099
05035,3676
05037,1537
05039,533
05041,960
05043,1545
05045,12213
05047,841
05049,595
05051,5689
05053,1287
05055,4435
05057,1229
05059,2748
05061,1004
05063,3130
05065,903
05067,1179
05069,5331
05071,1705
05073,370
05075,1376
05077,555
05079,977
05081,1002
05083,1156
05085,6187
05087,953
05089,745
05091,2411
05093,3577
05095,656
05097,287
05099,641
05101,349
05103,1553
05105,761
05107,1198
05109,675
05111,2157
05113,964
05115,5256
05117,587
05119,34808
05121,1109
05125,9878
05127,422
05129,614
05131,7961
05133,1534
05135,1193
05123,1832
05137,814
90005,18858
05139,2474
05141,927
05143,19236
05145,6864
05147,512
05149,1783
06001,127471
06003,13
06005,2945
06007,12463
06009,2822
06011,1083
06013,85183
06015,1970
06017,9985
06019,86041
06021,1752
06023,8323
06025,22704
06027,1735
06029,74076
06031,17777
06033,4068
06035,2115
06037,1099978
06039,15475
06041,13486
06043,1220
06045,6597
06047,22879
06049,161
06051,950
06053,36855
06055,11539
06057,6378
06059,222603
80006,0
06061,23851
06063,999
06065,197546
06067,119465
06069,4774
06071,181020
06073,335041
06075,63726
06077,61805
06079,21305
06081,62853
06083,38331
06085,151644
06087,24265
06089,9241
06091,93
06093,2165
06095,35344
06097,37740
06099,40402
06101,7112
06103,3934
06105,390
06107,41480
06109,4629
90006,4612
06111,67014
06113,15440
06115,5515
08001,35163
08003,1295
08005,44754
08007,752
08009,225
08011,518
08013,20964
08014,4155
08015,1423
08017,66
08019,487
08021,498
08023,213
08025,619
08027,135
08029,1092
08031,46996
08033,61
08035,23624
08037,3972
08041,53137
08039,1320
08043,3788
08045,4310
08047,307
08049,845
08051,1099
08053,50
08055,462
08057,36
08059,35563
08061,47
08063,293
08067,4649
08065,495
08069,23581
08071,1020
08073,595
08075,1741
08077,10823
08079,66
08081,653
08083,1722
08085,2019
08087,1214
08089,820
08091,223
80008,0
08093,769
08095,243
08097,2049
08099,528
08101,12325
08103,353
08105,746
08107,1808
08109,292
08111,64
08113,575
08115,106
08117,2412
08119,1113
90008,-4
08121,260
08123,22616
08125,359
09001,57940
09003,50061
09005,8790
09007,8495
09009,56441
09011,17437
09013,5538
90009,916
09015,7583
10001,15008
10003,40917
10005,16612
90010,204
88888,0
11001,40278
12001,23795
12003,2465
12005,12449
12007,1946
12009,43402
12011,155626
12013,983
12015,10315
12017,7906
12019,17448
12021,20506
12023,5658
12027,2178
12029,993
12031,73706
12033,20392
12035,6547
12037,802
12039,3806
12041,1231
12043,473
12045,1212
12047,960
12049,2300
12051,3207
12053,11471
12055,6821
12057,102564
12059,1422
12061,8703
12063,4203
12065,1275
12067,509
12069,24304
12071,51599
12073,27668
12075,2878
12077,599
12079,1989
12081,24631
12083,23006
12085,8358
12086,322036
12087,5482
12089,5756
12091,14876
12093,2864
12095,110535
12097,31059
12099,94288
12101,35539
12103,60327
12105,57968
12107,4345
12113,14072
12115,27873
12117,31533
12109,18298
12111,20949
12119,5938
12121,3414
12123,2208
90012,-3
12125,1129
12127,32472
12129,3071
12131,3961
12133,1873
13001,1121
13003,464
13005,783
13007,137
13009,2342
13011,891
13013,5476
13015,5806
13017,989
13019,1297
13021,8715
13023,863
13025,882
13027,885
13029,2345
13031,3644
13033,1303
13035,1242
13037,477
13039,2688
13043,446
13045,5174
13047,3707
13049,620
13051,19948
13053,477
13055,1562
13057,13951
13059,7229
13061,191
13063,16122
13065,511
13067,39501
13069,2592
13071,3096
13073,8593
13075,1128
13077,7853
13079,547
13081,1267
13083,732
13085,1664
13089,36856
13087,1891
13091,1395
13093,614
13095,6230
13097,8007
13099,764
13101,188
13103,3625
13105,1005
13107,1242
13109,589
13111,990
13113,6043
13115,6676
13117,15006
