FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed,Population,Land_area,Population Density
05121,Randolph County,AR,50.9,13691.0,25,1823,18571,652.19,28.4748309541698
19197,Wright County,IA,70.2,9502.0,13,844,12943,580.42,22.299369422142583
37017,Bladen County,NC,72.9,26077.0,35,4392,29606,874.33,33.861356695984355
44001,Bristol County,RI,85.2,39441.0,23,8170,50793,24.16,2102.359271523179
28047,Harrison County,MS,68.0,158574.0,104,22881,208621,573.99,363.4575515252879
26165,Wexford County,MI,62.7,25887.0,28,2645,33673,565.0,59.598230088495576
54041,Lewis County,WV,69.0,12565.0,25,2398,17033,384.9,44.25305274097168
51145,Powhatan County,VA,44.8,24280.0,31,2320,30333,260.22,116.56675121051416
45015,Berkeley County,SC,62.5,173748.0,92,24334,229861,1098.86,209.1813333818685
55045,Green County,WI,73.3,28803.0,10,3919,37093,583.96,63.51976162750873
48355,Nueces County,TX,69.7,274235.0,207,51823,353178,838.48,421.2121934929873
46015,Brule County,SD,70.5,3932.0,5,438,5247,817.24,6.420390582937693
40081,Lincoln County,OK,50.4,26666.0,26,3101,33458,952.31,35.133517447049805
18085,Kosciusko County,IN,51.2,60648.0,58,4847,80240,531.38,151.00304866573828
30051,Liberty County,MT,41.1,1864.0,2,170,1959,1430.05,1.3698821719520298
17009,Brown County,IL,62.0,5529.0,3,1334,6244,305.61,20.43126861032034
47053,Gibson County,TN,58.2,37332.0,53,7243,50429,602.74,83.66625742442844
05035,Crittenden County,AR,56.8,34983.0,38,5180,48163,609.76,78.9868144843873
31157,Scotts Bluff County,NE,51.1,26803.0,35,2961,36084,739.4,48.80173113335137
30019,Daniels County,MT,50.8,1338.0,0,92,1661,1426.11,1.1647067897988237
38069,Pierce County,ND,54.5,3070.0,3,265,3990,1018.6,3.9171411741606126
39129,Pickaway County,OH,60.6,46036.0,51,5199,58539,501.32,116.7697279182957
12055,Highlands County,FL,61.2,88350.0,330,9575,101235,1016.62,99.5799807204265
31041,Custer County,NE,48.3,8177.0,11,426,10545,2575.52,4.094318817170901
51171,Shenandoah County,VA,58.9,34452.0,46,3794,44186,508.78,86.84696725500217
48359,Oldham County,TX,44.4,1618.0,0,119,1758,1500.53,1.1715860395993416
18035,Delaware County,IN,56.3,93381.0,121,8192,111903,392.12,285.379475670713
37101,Johnston County,NC,65.0,156585.0,117,29439,215999,791.3,272.96726905092885
45003,Aiken County,SC,55.3,134333.0,74,16322,168808,1071.03,157.61276528201824
51720,Norton city,VA,39.9,3121.0,2,688,3687,7.48,492.91443850267376
