FIPS,Deaths
01001,51
01003,82
01005,16
01007,6
01009,38
01011,6
01013,26
01015,85
01017,14
01019,20
01021,28
01023,6
01025,11
01027,12
01029,9
01031,36
01033,41
01035,9
01037,10
01039,28
01041,19
01043,54
01045,33
01047,30
01049,48
01051,45
01053,21
01055,113
01057,10
01059,26
01061,26
01063,3
01065,14
01067,9
01069,66
01071,35
01073,311
01075,4
01077,70
01079,18
01081,63
01083,61
01085,7
01087,14
01089,180
01091,15
01093,19
01095,68
01097,230
01099,14
01101,130
01103,82
80001,0
01105,3
01107,10
01109,22
01111,7
01113,20
01117,62
01115,47
01119,8
01121,65
01123,28
01125,107
90001,0
01127,50
01129,8
01131,8
01133,18
02013,0
02016,0
02020,92
02050,9
02060,0
02164,0
02063,0
02066,5
02068,0
02070,1
02090,19
02100,0
02110,6
02122,24
02130,6
02150,2
02158,3
02170,62
02180,2
02185,2
02188,4
02195,1
02198,2
02220,0
02230,0
02240,6
90002,0
02261,0
02275,0
02282,2
02290,2
60,3
04001,59
04003,89
04005,53
04007,61
04009,14
04011,5
04012,30
04013,2949
04015,241
04017,127
80004,0
04019,596
04021,274
04023,21
90004,0
04025,218
04027,177
05001,14
05003,10
05005,46
05007,143
05009,37
05011,7
05013,1
05015,18
05017,12
05019,13
05021,15
05023,26
05025,2
05027,14
05029,16
05031,68
05033,54
05035,36
05037,9
05039,11
05041,5
05043,13
05045,73
05047,13
05049,10
05051,74
05053,8
05055,37
05057,16
05059,17
05061,11
05063,34
05065,12
05067,14
05069,37
05071,17
05073,3
05075,13
05077,4
05079,9
05081,18
05083,22
05085,62
05087,16
05089,16
05091,22
05093,50
05095,7
05097,4
05099,3
05101,3
05103,13
05105,11
05107,14
05109,4
05111,20
05113,19
05115,39
05117,11
05119,202
05121,15
05125,68
05127,8
05129,16
05131,105
05133,11
05135,27
05123,21
05137,18
90005,0
05139,23
05141,17
05143,96
05145,75
05147,6
05149,16
06001,268
06003,0
06005,16
06007,55
06009,26
06011,0
06013,218
06015,7
06017,28
06019,341
06021,8
06023,18
06025,108
06027,7
06029,363
06031,57
06033,19
06035,11
06037,4032
06039,44
06041,38
06043,15
06045,21
06047,114
06049,2
06051,2
06053,83
06055,34
06057,13
06059,994
80006,0
06061,125
06063,1
06065,910
06067,533
06069,16
06071,812
06073,700
06075,159
06077,299
06079,110
06081,107
06083,109
06085,290
06087,31
06089,119
06091,4
06093,19
06095,64
06097,69
06099,200
06101,29
06103,59
06105,3
06107,250
06109,89
90006,0
06111,251
06113,43
06115,21
08001,214
08003,4
08005,158
08007,6
08009,1
08011,5
08013,58
08014,15
08015,6
08017,1
08019,5
08021,8
08023,3
08025,1
08027,5
08029,11
08031,186
08033,2
08035,54
08037,3
08041,206
08039,6
08043,17
08045,13
08047,1
08049,6
08051,1
08053,0
08055,4
08057,0
08059,217
08061,2
08063,6
08067,13
08065,0
08069,78
08071,8
08073,1
08075,10
08077,61
08079,0
08081,3
08083,18
08085,14
08087,10
08089,10
08091,0
80008,0
08093,6
08095,3
08097,0
08099,5
08101,105
08103,2
08105,6
08107,0
08109,2
08111,0
08113,1
08115,3
08117,2
08119,7
90008,0
08121,2
08123,107
08125,1
09001,338
09003,423
09005,83
09007,64
09009,463
09011,129
09013,58
90009,8
09015,53
10001,141
10003,271
10005,148
90010,0
88888,0
11001,122
12001,371
12003,78
12005,417
12007,90
12009,1155
12011,2710
12013,52
12015,361
12017,502
12019,489
12021,436
12023,220
12027,52
12029,43
12031,1883
12033,593
12035,240
12037,32
12039,101
12041,45
12043,17
12045,31
12047,30
12049,79
12051,73
12053,599
12055,309
12057,1899
12059,37
12061,342
12063,117
12065,31
12067,33
12069,836
12071,1124
12073,315
12075,107
12077,14
12079,51
12081,731
12083,1076
12085,262
12086,4293
12087,65
12089,164
12091,316
12093,94
12095,1472
12097,608
12099,2110
12101,1064
12103,1630
12105,1566
12107,260
12113,322
12115,731
12117,559
12109,337
12111,561
12119,282
12121,173
12123,54
90012,-25420
12125,42
12127,1126
12129,67
12131,119
12133,56
13001,15
13003,8
13005,6
13007,0
13009,29
13011,15
13013,44
13015,63
13017,9
13019,10
13021,96
13023,9
13025,18
13027,9
13029,14
13031,34
13033,18
13035,27
13037,0
13039,19
13043,4
13045,68
13047,38
13049,4
13051,124
13053,1
13055,22
13057,114
13059,36
13061,2
13063,149
13065,6
13067,290
13069,33
13071,36
13073,53
13075,7
13077,70
13079,7
13081,16
13083,6
13085,20
13089,274
13087,18
