FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
05121,Randolph County,AR,50.9,13691.0,25,1823
19197,Wright County,IA,70.2,9502.0,13,844
37017,Bladen County,NC,72.9,26077.0,35,4392
44001,Bristol County,RI,85.2,39441.0,23,8170
28047,Harrison County,MS,68.0,158574.0,104,22881
26165,Wexford County,MI,62.7,25887.0,28,2645
54041,Lewis County,WV,69.0,12565.0,25,2398
51145,Powhatan County,VA,44.8,24280.0,31,2320
45015,Berkeley County,SC,62.5,173748.0,92,24334
55045,Green County,WI,73.3,28803.0,10,3919
48355,Nueces County,TX,69.7,274235.0,207,51823
46015,Brule County,SD,70.5,3932.0,5,438
40081,Lincoln County,OK,50.4,26666.0,26,3101
18085,Kosciusko County,IN,51.2,60648.0,58,4847
30051,Liberty County,MT,41.1,1864.0,2,170
17009,Brown County,IL,62.0,5529.0,3,1334
47053,Gibson County,TN,58.2,37332.0,53,7243
05035,Crittenden County,AR,56.8,34983.0,38,5180
31157,Scotts Bluff County,NE,51.1,26803.0,35,2961
30019,Daniels County,MT,50.8,1338.0,0,92
38069,Pierce County,ND,54.5,3070.0,3,265
39129,Pickaway County,OH,60.6,46036.0,51,5199
12055,Highlands County,FL,61.2,88350.0,330,9575
72069,Humacao Municipio,PR,83.9,41830.0,0,8828
31041,Custer County,NE,48.3,8177.0,11,426
51171,Shenandoah County,VA,58.9,34452.0,46,3794
48359,Oldham County,TX,44.4,1618.0,0,119
18035,Delaware County,IN,56.3,93381.0,121,8192
37101,Johnston County,NC,65.0,156585.0,117,29439
45003,Aiken County,SC,55.3,134333.0,74,16322
51720,Norton city,VA,39.9,3121.0,2,688
37149,Polk County,NC,50.4,17478.0,16,1725
28067,Jones County,MS,54.7,51067.0,49,8498
31179,Wayne County,NE,47.1,7543.0,4,465
54017,Doddridge County,WV,66.8,7197.0,5,711
13303,Washington County,GA,52.6,15977.0,12,1394
72141,Utuado Municipio,PR,80.6,22451.0,0,4498
39033,Crawford County,OH,55.6,32520.0,41,3555
32015,Lander County,NV,50.9,4084.0,5,439
27039,Dodge County,MN,70.9,15575.0,9,2192
01085,Lowndes County,AL,61.6,7587.0,11,1006
20137,Norton County,KS,63.4,4357.0,4,503
36087,Rockland County,NY,81.0,233221.0,110,37176
20045,Douglas County,KS,67.8,100233.0,32,15424
12053,Hernando County,FL,63.9,158562.0,632,17002
26041,Delta County,MI,73.7,28815.0,29,3678
39039,Defiance County,OH,60.2,29447.0,30,2658
08029,Delta County,CO,57.1,25048.0,19,1861
72153,Yauco Municipio,PR,91.9,27725.0,0,6370
17143,Peoria County,IL,72.6,136770.0,123,18788
45019,Charleston County,SC,74.5,331391.0,218,52173
47079,Henry County,TN,57.9,25757.0,51,2958
38103,Wells County,ND,53.3,3047.0,1,260
37103,Jones County,NC,64.4,7704.0,1,1034
39035,Cuyahoga County,OH,74.9,980955.0,666,70009
31047,Dawson County,NE,60.8,17203.0,10,1062
