FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
05121,Randolph County,AR,50.9,13691.0,25
19197,Wright County,IA,70.2,9502.0,13
37017,Bladen County,NC,72.9,26077.0,35
44001,Bristol County,RI,85.2,39441.0,23
28047,Harrison County,MS,68.0,158574.0,104
26165,Wexford County,MI,62.7,25887.0,28
54041,Lewis County,WV,69.0,12565.0,25
51145,Powhatan County,VA,44.8,24280.0,31
45015,Berkeley County,SC,62.5,173748.0,92
55045,Green County,WI,73.3,28803.0,10
48355,Nueces County,TX,69.7,274235.0,207
46015,Brule County,SD,70.5,3932.0,5
40081,Lincoln County,OK,50.4,26666.0,26
18085,Kosciusko County,IN,51.2,60648.0,58
30051,Liberty County,MT,41.1,1864.0,2
17009,Brown County,IL,62.0,5529.0,3
47053,Gibson County,TN,58.2,37332.0,53
05035,Crittenden County,AR,56.8,34983.0,38
31157,Scotts Bluff County,NE,51.1,26803.0,35
30019,Daniels County,MT,50.8,1338.0,0
38069,Pierce County,ND,54.5,3070.0,3
39129,Pickaway County,OH,60.6,46036.0,51
12055,Highlands County,FL,61.2,88350.0,330
72069,Humacao Municipio,PR,83.9,41830.0,0
31041,Custer County,NE,48.3,8177.0,11
51171,Shenandoah County,VA,58.9,34452.0,46
48359,Oldham County,TX,44.4,1618.0,0
18035,Delaware County,IN,56.3,93381.0,121
37101,Johnston County,NC,65.0,156585.0,117
45003,Aiken County,SC,55.3,134333.0,74
51720,Norton city,VA,39.9,3121.0,2
37149,Polk County,NC,50.4,17478.0,16
28067,Jones County,MS,54.7,51067.0,49
31179,Wayne County,NE,47.1,7543.0,4
54017,Doddridge County,WV,66.8,7197.0,5
13303,Washington County,GA,52.6,15977.0,12
72141,Utuado Municipio,PR,80.6,22451.0,0
39033,Crawford County,OH,55.6,32520.0,41
32015,Lander County,NV,50.9,4084.0,5
27039,Dodge County,MN,70.9,15575.0,9
01085,Lowndes County,AL,61.6,7587.0,11
20137,Norton County,KS,63.4,4357.0,4
36087,Rockland County,NY,81.0,233221.0,110
20045,Douglas County,KS,67.8,100233.0,32
12053,Hernando County,FL,63.9,158562.0,632
26041,Delta County,MI,73.7,28815.0,29
39039,Defiance County,OH,60.2,29447.0,30
08029,Delta County,CO,57.1,25048.0,19
72153,Yauco Municipio,PR,91.9,27725.0,0
17143,Peoria County,IL,72.6,136770.0,123
45019,Charleston County,SC,74.5,331391.0,218
47079,Henry County,TN,57.9,25757.0,51
38103,Wells County,ND,53.3,3047.0,1
37103,Jones County,NC,64.4,7704.0,1
39035,Cuyahoga County,OH,74.9,980955.0,666
31047,Dawson County,NE,60.8,17203.0,10
40069,Johnston County,OK,53.8,8428.0,7
55071,Manitowoc County,WI,71.0,62835.0,55
48429,Stephens County,TX,46.9,7309.0,10
42051,Fayette County,PA,67.8,104556.0,150
27031,Cook County,MN,87.8,4639.0,3
39103,Medina County,OH,74.1,140169.0,87
53027,Grays Harbor County,WA,71.8,59787.0,56
45047,Greenwood County,SC,58.7,54832.0,70
18123,Perry County,IN,67.8,15136.0,15
51580,Covington city,VA,41.2,4388.0,9
30037,Golden Valley County,MT,57.8,645.0,0
30101,Toole County,MT,56.5,3753.0,4
45067,Marion County,SC,58.5,23752.0,23
13141,Hancock County,GA,54.1,7175.0,7
48417,Shackelford County,TX,47.8,2519.0,3
31079,Hall County,NE,62.2,44435.0,29
20133,Neosho County,KS,34.2,12082.0,15
27141,Sherburne County,MN,55.5,71767.0,30
26005,Allegan County,MI,63.1,89983.0,88
01013,Butler County,AL,48.0,15174.0,27
05021,Clay County,AR,55.0,11465.0,18
01091,Marengo County,AL,66.1,14616.0,15
20163,Rooks County,KS,59.2,3827.0,5
37191,Wayne County,NC,60.9,94031.0,82
02180,Nome Census Area,AK,85.6,6544.0,2
01003,Baldwin County,AL,61.8,175680.0,94
06077,San Joaquin County,CA,72.2,557577.0,365
30097,Sweet Grass County,MT,49.0,2972.0,5
33015,Rockingham County,NH,76.8,250662.0,168
18165,Vermillion County,IN,58.2,12088.0,19
12083,Marion County,FL,66.4,298065.0,1147
28099,Neshoba County,MS,51.5,21050.0,31
40021,Cherokee County,OK,57.3,38112.0,29
26151,Sanilac County,MI,52.2,32362.0,36
47187,Williamson County,TN,79.4,174480.0,92
46013,Brown County,SD,69.1,29634.0,15
19163,Scott County,IA,72.4,132169.0,95
34019,Hunterdon County,NJ,81.3,100659.0,80
39145,Scioto County,OH,60.9,59037.0,52
20059,Franklin County,KS,63.1,19502.0,27
51141,Patrick County,VA,47.0,14558.0,25
51770,Roanoke city,VA,50.2,77060.0,109
33013,Merrimack County,NH,78.8,122788.0,76
01105,Perry County,AL,57.6,7056.0,6
18143,Scott County,IN,54.3,18508.0,27
55085,Oneida County,WI,75.2,29526.0,25
31073,Gosper County,NE,48.7,1562.0,2
31013,Box Butte County,NE,43.1,8045.0,9
21121,Knox County,KY,45.5,23951.0,46
28049,Hinds County,MS,68.9,176521.0,150
72101,Morovis Municipio,PR,78.9,24499.0,0
72001,Adjuntas Municipio,PR,81.1,14072.0,0
46079,Lake County,SD,59.2,10220.0,6
37181,Vance County,NC,69.9,34092.0,22
05073,Lafayette County,AR,50.1,5401.0,2
40015,Caddo County,OK,79.3,21606.0,35
20199,Wallace County,KS,47.9,1146.0,3
13055,Chattooga County,GA,47.3,19248.0,26
36043,Herkimer County,NY,68.7,48793.0,37
09013,Tolland County,CT,73.1,124818.0,77
48125,Dickens County,TX,41.2,1809.0,1
05091,Miller County,AR,40.8,33187.0,30
46097,Miner County,SD,68.3,1684.0,1
47135,Perry County,TN,50.6,6283.0,15
21017,Bourbon County,KY,68.5,15331.0,20
29019,Boone County,MO,70.5,143733.0,60
46102,Oglala Lakota County,SD,94.2,8964.0,6
05061,Howard County,AR,70.7,9749.0,13
05033,Crawford County,AR,55.7,47861.0,61
05141,Van Buren County,AR,49.8,13327.0,17
21033,Caldwell County,KY,64.5,9890.0,10
31011,Boone County,NE,61.7,3989.0,1
35029,Luna County,NM,89.9,17550.0,34
53077,Yakima County,WA,78.3,176923.0,149
20191,Sumner County,KS,54.6,17283.0,14
02060,Bristol Bay Borough,AK,95.0,687.0,0
27027,Clay County,MN,71.0,48290.0,15
48419,Shelby County,TX,47.1,18710.0,20
47045,Dyer County,TN,51.0,28334.0,48
17075,Iroquois County,IL,61.6,21252.0,30
12113,Santa Rosa County,FL,64.3,144119.0,337
34039,Union County,NJ,82.6,426483.0,325
42037,Columbia County,PA,70.5,53571.0,62
35017,Grant County,NM,79.2,21758.0,39
40095,Marshall County,OK,55.3,13028.0,15
19195,Worth County,IA,61.9,5851.0,7
45057,Lancaster County,SC,55.7,76927.0,36
17005,Bond County,IL,64.0,13292.0,3
19003,Adams County,IA,67.7,2848.0,3
28089,Madison County,MS,76.1,79989.0,51
31101,Keith County,NE,44.9,6386.0,10
01097,Mobile County,AL,61.3,316868.0,287
51670,Hopewell city,VA,40.4,16678.0,22
31089,Holt County,NE,53.3,7520.0,4
48241,Jasper County,TX,46.0,27090.0,25
21061,Edmonson County,KY,39.7,9988.0,16
47047,Fayette County,TN,66.1,33523.0,57
48157,Fort Bend County,TX,84.2,590029.0,153
36033,Franklin County,NY,79.1,40427.0,18
29123,Madison County,MO,49.7,9307.0,17
37073,Gates County,NC,64.0,9230.0,2
51590,Danville city,VA,41.9,31397.0,75
01115,St. Clair County,AL,48.2,69336.0,56
11001,District of Columbia,DC,81.4,577581.0,152
13239,Quitman County,GA,39.0,1869.0,0
46099,Minnehaha County,SD,82.1,144430.0,94
13213,Murray County,GA,46.6,30292.0,42
35005,Chaves County,NM,55.6,47845.0,115
48291,Liberty County,TX,53.6,64361.0,43
48457,Tyler County,TX,44.4,17499.0,15
08087,Morgan County,CO,60.5,21551.0,13
17089,Kane County,IL,77.4,399424.0,200
25009,Essex County,MA,83.2,622395.0,539
32009,Esmeralda County,NV,45.9,750.0,1
12047,Hamilton County,FL,41.2,11684.0,31
36025,Delaware County,NY,64.3,36926.0,21
29186,Ste. Genevieve County,MO,55.1,13983.0,5
12127,Volusia County,FL,68.8,456508.0,1180
42117,Tioga County,PA,54.8,32510.0,28
45069,Marlboro County,SC,52.8,20934.0,20
05055,Greene County,AR,53.1,34308.0,48
72129,San Lorenzo Municipio,PR,85.3,29687.0,0
47185,White County,TN,52.7,21387.0,15
36067,Onondaga County,NY,83.6,363436.0,216
12061,Indian River County,FL,77.0,134897.0,363
21207,Russell County,KY,56.5,13863.0,27
47095,Lake County,TN,40.2,6010.0,10
38077,Richland County,ND,61.6,12641.0,2
02198,Prince of Wales-Hyder Census Area,AK,60.8,4821.0,4
54037,Jefferson County,WV,74.2,44559.0,40
05011,Bradley County,AR,69.6,8180.0,11
41019,Douglas County,OR,62.9,89613.0,101
55047,Green Lake County,WI,67.6,14772.0,16
21131,Leslie County,KY,63.7,7764.0,12
18043,Floyd County,IN,67.7,60795.0,69
18141,St. Joseph County,IN,70.9,208208.0,189
29121,Macon County,MO,50.8,11637.0,23
35035,Otero County,NM,72.7,52062.0,57
19149,Plymouth County,IA,65.3,18868.0,14
31027,Cedar County,NE,53.2,6283.0,2
12079,Madison County,FL,53.6,15088.0,53
13241,Rabun County,GA,53.4,14298.0,23
08014,Broomfield County,CO,90.0,54894.0,24
21219,Todd County,KY,55.1,9037.0,8
41035,Klamath County,OR,61.2,53550.0,63
01051,Elmore County,AL,57.0,63080.0,55
72045,Comerio Municipio,PR,78.4,15112.0,0
18129,Posey County,IN,57.7,19900.0,12
26161,Washtenaw County,MI,79.9,299837.0,147
19169,Story County,IA,68.0,81098.0,28
30057,Madison County,MT,51.4,7283.0,3
40135,Sequoyah County,OK,50.1,31927.0,13
18159,Tipton County,IN,55.2,12064.0,20
51089,Henry County,VA,46.5,40871.0,63
29083,Henry County,MO,55.8,17065.0,23
36097,Schuyler County,NY,71.7,14503.0,5
38099,Walsh County,ND,69.6,8197.0,0
13277,Tift County,GA,49.7,30600.0,37
21133,Letcher County,KY,63.3,16877.0,37
39173,Wood County,OH,69.0,104261.0,64
47005,Benton County,TN,53.9,12951.0,15
19175,Union County,IA,62.0,9514.0,9
18065,Henry County,IN,63.4,38234.0,52
46031,Corson County,SD,66.1,2592.0,2
48283,La Salle County,TX,73.4,6038.0,8
